# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
57, 294, , 9835
57, 276, , 5493
57, 512, , 61102
57, 477, , 61010
57, 290, , 63954
57, 339, , 60985
57, 432, , 61096
57, 399, , 60994
57, 286, , 5531
57, 340, , 13422
57, 291, , 6716
57, 379, , 61183
57, 329, , 61173
57, 268, , 5614
57, 276, , 4457
57, 419, , 61066
57, 496, , 61084
57, 281, , 15664
172333
57, 512, , 61051
57, 265, , 6593
58, 512, , 61008
58, 453, , 61270
58, 261, , 5538
58, 401, , 61070
58, 303, , 61132
58, 307, , 8666
58, 512, , 61106
58, 1610, , 61074
58, 284, , 8865
58, 450, , 61633
58, 390, , 60994
58, 606, , 61291
58, 350, , 61023
58, 267, , 4509
58, 275, , 3412
58, 512, , 61167
58, 479, , 60994
58, 365, , 7767
58, 512, , 61546
58, 358, , 61071
59, 291, , 7810
59, 512, , 61161
59, 317, , 60957
59, 483, , 61253
59, 282, , 7923
59, 516, , 61191
59, 287, , 8935
59, 512, , 61187
59, 289, , 13110
59, 512, , 61120
59, 325, , 61001
59, 289, , 6970
43643
59, 512, , 61149
59, 356, , 61257
59, 260, , 10172
59, 545, , 61184
59, 512, , 61125
59, 377, , 61003
59, 741, , 61610
59, 290, , 9924
60, 873, , 61254
60, 736, , 64137
60, 277, , 12530
60, 328, , 8772
60, 768, , 61223
60, 317, , 60981
60, 512, , 61105
60, 291, , 12419
60, 1268, , 61703
60, 410, , 61046
60, 384, , 61102
60, 263, , 8690
60, 385, , 61036
60, 512, , 61129
60, 512, , 61001
60, 487, , 61082
60, 453, , 61101
60, 512, , 61060
60, 401, , 70376
60, 262, , 60845
116847
61, 258, , 60853
61, 377, , 60981
61, 289, , 5541
61, 290, , 7586
61, 283, , 60847
61, 290, , 60906
61, 263, , 63932
61, 512, , 61200
61, 260, , 4435
61, 260, , 60912
61, 744, , 61246
61, 263, , 5428
61, 657, , 61056
61, 435, , 61070
61, 360, , 61185
61, 273, , 4536
61, 392, , 61155
61, 510, , 61109
61, 290, , 5543
61, 315, , 60947
62, 467, , 61122
62, 477, , 61399
62, 512, , 61087
62, 350, , 61163
62, 288, , 60860
62, 271, , 5524
62, 273, , 4473
62, 512, , 61136
62, 293, , 60967
62, 1031, , 61882
62, 450, , 61064
120193
62, 306, , 61156
62, 830, , 61208
62, 512, , 67279
62, 282, , 60854
62, 411, , 61073
62, 296, , 60912
62, 288, , 5537
62, 512, , 61277
62, 300, , 60873
63, 512, , 61168
63, 274, , 4496
63, 267, , 60850
63, 292, , 60815
63, 311, , 61157
63, 281, , 8635
63, 1742, , 61082
63, 354, , 61138
63, 284, , 11942
63, 1421, , 61244
63, 291, , 8545
63, 324, , 61092
63, 512, , 61071
63, 258, , 5562
63, 278, , 60800
63, 305, , 60981
63, 321, , 60945
63, 376, , 61090
63, 512, , 64162
63, 261, , 8980
64, 437, , 61983
64, 406, , 60999
64, 479, , 61142
64, 512, , 61016
64, 271, , 60825
64, 408, , 61072
64, 671, , 61557
64, 512, , 61020
64, 361, , 61260
64, 282, , 9746
64, 306, , 60967
64, 732, , 61052
64, 429, , 61065
64, 478, , 61077
64, 396, , 60995
64, 550, , 61212
64, 512, , 61658
64, 287, , 5568
64, 374, , 61034
64, 512, , 61012
65, 288, , 6676
65, 273, , 9970
65, 434, , 61300
65, 433, , 61054
65, 257, , 5490
65, 365, , 61117
65, 512, , 61115
65, 264, , 7762
65, 260, , 60784
65, 381, , 61074
65, 280, , 60933
65, 512, , 61554
65, 512, , 61136
65, 348, , 60980
65, 655, , 61526
65, 491, , 61202
65, 368, , 61089
65, 323, , 60984
65, 283, , 7505
