# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
68, 335, , 61076
68, 512, , 64100
68, 260, , 6554
68, 512, , 67286
68, 296, , 67104
68, 261, , 61017
68, 281, , 5595
68, 386, , 67138
68, 394, , 67125
68, 403, , 64065
68, 512, , 64093
68, 294, , 63936
69, 408, , 67211
69, 260, , 60836
69, 259, , 5582
69, 512, , 64484
69, 1038, , 67196
69, 298, , 7706
69, 274, , 3399
69, 346, , 64198
69, 284, , 7714
69, 512, , 70259
69, 261, , 6651
69, 337, , 60954
69, 260, , 7693
69, 448, , 67113
69, 280, , 7774
69, 257, , 38194
69, 375, , 64286
69, 257, , 35120
69, 258, , 60750
69, 257, , 3436
70, 393, , 67126
70, 288, , 5606
70, 512, , 64095
70, 538, , 61033
70, 274, , 4441
70, 512, , 64094
70, 446, , 67140
70, 287, , 5633
70, 295, , 6557
70, 262, , 61036
70, 512, , 64402
70, 649, , 64203
70, 308, , 8842
70, 453, , 67162
70, 512, , 67143
70, 640, , 67701
70, 262, , 63899
70, 376, , 64034
70, 458, , 67147
70, 260, , 5503
71, 305, , 67072
71, 259, , 5575
71, 288, , 5601
71, 1371, , 67191
71, 474, , 64074
71, 512, , 64596
71, 280, , 60845
71, 481, , 67220
71, 360, , 64205
71, 286, , 60842
71, 512, , 64086
71, 512, , 64590
71, 1383, , 67173
71, 482, , 64099
71, 299, , 61004
71, 344, , 67409
71, 455, , 67142
71, 603, , 70567
71, 512, , 64095
71, 431, , 70648
72, 372, , 64040
72, 302, , 60892
72, 284, , 60971
72, 307, , 60980
72, 1288, , 67171
72, 295, , 60883
112125
72, 326, , 67323
72, 402, , 67461
72, 512, , 67163
72, 612, , 67534
72, 280, , 60831
72, 1232, , 64458
72, 258, , 3375
72, 314, , 60964
72, 387, , 60951
72, 274, , 7590
72, 449, , 67251
72, 315, , 9934
72, 512, , 70252
72, 512, , 70218
73, 512, , 67172
73, 260, , 60791
73, 512, , 64074
73, 281, , 9661
73, 410, , 10783
73, 262, , 60866
73, 293, , 5515
73, 280, , 60815
73, 512, , 64559
73, 318, , 8665
37967
73, 512, , 67173
73, 512, , 67138
73, 259, , 5603
73, 383, , 64064
73, 261, , 60948
73, 493, , 67558
73, 261, , 60953
73, 360, , 64048
73, 257, , 49475
73, 299, , 60988
74, 305, , 7616
74, 407, , 67125
74, 307, , 64046
74, 292, , 60833
74, 342, , 64192
74, 512, , 67653
74, 512, , 64556
74, 332, , 9723
74, 288, , 63993
74, 329, , 64316
74, 1113, , 61049
74, 265, , 60908
74, 262, , 61020
74, 609, , 70681
74, 512, , 64091
74, 512, , 61009
74, 260, , 60878
74, 259, , 61116
90141
74, 512, , 64066
74, 344, , 61110
75, 414, , 67478
75, 257, , 3371
75, 512, , 64765
75, 262, , 60872
75, 512, , 64111
75, 259, , 6544
75, 975, , 64104
75, 277, , 60794
75, 259, , 60868
75, 502, , 60984
75, 347, , 61086
75, 512, , 64126
75, 512, , 67160
75, 257, , 60909
75, 270, , 47441
97857
75, 512, , 67150
75, 264, , 60824
75, 512, , 67155
75, 382, , 60959
75, 258, , 5501
76, 259, , 5551
76, 262, , 60849
76, 319, , 60969
76, 322, , 61173
76, 512, , 67190
76, 280, , 7703
76, 277, , 64082
76, 289, , 64221
76, 269, , 48459
76, 295, , 7588
76, 512, , 67185
76, 315, , 10867
76, 512, , 64066
76, 390, , 67194
76, 287, , 60798
90997
